Wahltermin,Titel,Vorname,Nachname,Jahrgang,Partei,Wahlkreis,Bundesland,Listenplatz
2009-09-27,,Doris,Rau,1959,CDU,,HE,34
2009-09-27,,Marie-Luise,Rau-Stoll,1950,SPD,,HE,30
2009-09-27,,Gabriele Maria,Rauber,1954,CDU,,SL,12
2009-09-27,,Michael,Rauschenbach,1966,REP,,BE,3
2009-09-27,,Mechthild,Rawert,1957,SPD,82,BE,4
2009-09-27,,Siegfried,Reball,1954,NPD,133,,
2009-09-27,,Kai,Rebmann,1982,PBC,279,,
2009-09-27,,Stefan,Rebmann,1962,SPD,275,BW,17
2009-09-27,,Daniel,Rech,1983,DVU,,RP,3
2009-09-27,,Lutz Rüdiger,Recknagel,1966,FDP,197,,
2009-09-27,,Nina,Rectenwald,1990,FDP,,SL,12
2009-09-27,,Bärbel,Redlhammer-Raback,1954,DVU,,BB,3
2009-09-27,,Manfred,Reetnitz von,1955,REP,,HE,4
2009-09-27,,Imanuel,Regehly,1923,NPD,,BE,7
2009-09-27,Dr.,Thomas,Rehahn,1953,GRÜNE,187,HE,22
2009-09-27,,Eckhardt Harald,Rehberg,1954,CDU,17,MV,2
2009-09-27,,Katherina,Reiche,1973,CDU,62,BB,1
2009-09-27,,Sebastian,Reiche,1983,NPD,192,,
2009-09-27,,Steffen,Reiche,1960,SPD,65,BB,5
2009-09-27,,Julia,Reichel,1972,Tierschutzpartei,182,,
2009-09-27,,Maik,Reichel,1971,SPD,74,ST,7
2009-09-27,,Gerold,Reichenbach,1953,SPD,184,HE,9
2009-09-27,,Marcus,Reichenberg,1975,GRÜNE,226,,
2009-09-27,,Brigitte,Reifschneider-Groß,1951,FDP,,HE,25
2009-09-27,Dr.,Carola,Reimann,1967,SPD,51,NI,17
2009-09-27,,Hermann Hans Hajo,Reinders,1952,CDU,,NI,34
2009-09-27,,Rosa Maria,Reindl,1966,ÖDP,214,BY,10
2009-09-27,Dr.,Birgit,Reinemund,1959,FDP,275,BW,11
2009-09-27,,Marion,Reinert,1976,NPD,122,NW,10
2009-09-27,,Johannes,Reinhard,1985,CSU,,BY,53
2009-09-27,,Fabio,Reinhardt,1980,PIRATEN,,NI,3
2009-09-27,,Manfred,Reinhart,1964,ÖDP,242,BY,32
2009-09-27,,Hagen,Reinhold,1978,FDP,14,MV,2
2009-09-27,,Elke,Reinke,1958,DIE LINKE,69,ST,7
2009-09-27,,Ralf,Reinstädtler,1966,DIE LINKE,299,,
2009-09-27,,Oliver,Reising,1970,DIE LINKE,,NW,20
2009-09-27,,Hans-Jürgen,Reitmeyer,1953,GRÜNE,126,,
2009-09-27,,Axel,Reitz,1983,NPD,92,NW,11
2009-09-27,,Reinhold,Reker,1935,ADM,,BW,5
2009-09-27,,Ingrid Liselotte,Remmers,1965,DIE LINKE,,NW,9
2009-09-27,,Karsten,Renfordt,1963,DIE LINKE,151,,
2009-09-27,,Gabriele,Renner,1965,DIE VIOLETTEN,,BY,8
2009-09-27,,Rita,Renner,1958,MLPD,,ST,4
2009-09-27,,Astrid,Renner-Knopp,1969,CSU,,BY,49
2009-09-27,,Hans-Jörg,Rennert,1941,Bündnis21/RRP,,NW,4
2009-09-27,,Christine,Renz,1975,Tierschutzpartei,,BW,2
2009-09-27,Dr.,Wolfgang,Ressmann,1958,SPD,209,RP,13
2009-09-27,,Hans-Jürgen,Rettig,1950,,61,,
2009-09-27,,Volker,Reusch,1970,ZENTRUM,,NW,4
2009-09-27,,Volker,Reusing,1971,ÖDP,,NW,14
2009-09-27,Dr.,Alexander,Reuter,1967,FDP,293,,
2009-09-27,,Marion,Reuther,1953,SPD,251,BY,24
2009-09-27,,Fabian,Reymann,1979,PSG,,BE,2
2009-09-27,,Ingrid,Reynders,1947,RENTNER,,NW,10
2009-09-27,,Bernhard,Richter,1943,ÖDP,285,BW,2
2009-09-27,,Hartmut Manfred,Richter,1944,,160,,
2009-09-27,Dr.,Jörg,Richter,1969,FDP,277,BW,19
2009-09-27,,Thomas,Richter,1969,FDP,159,SN,12
2009-09-27,,Wera,Richter,1969,DKP,,BE,2
2009-09-27,,Marie-Luise,Richtermeier,1947,DIE VIOLETTEN,,BE,2
2009-09-27,,Roland,Richwien,1955,CDU,194,TH,5
2009-09-27,,Matthias,Riebesam,1964,,269,,
2009-09-27,,Lothar,Riebsamen,1957,CDU,293,,
2009-09-27,,Hans-Ulrich,Riedel,1955,DIE LINKE,81,BE,12
2009-09-27,,Albert,Riedelsheimer,1966,GRÜNE,254,,
2009-09-27,,Laszlo,Riedl,1972,FDP,249,BY,44
2009-09-27,,Peter Hans,Riedl,1948,Bündnis21/RRP,232,BY,12
2009-09-27,,Michael,Riedmaier,1969,Volksabstimmung,,NW,8
2009-09-27,,Josef,Rief,1960,CDU,292,,
2009-09-27,,Ricarda,Riefling,1983,NPD,49,NI,3
2009-09-27,,Jürgen,Rieg,1968,FDP,270,BW,35
2009-09-27,,Stefan,Riegel,1985,PIRATEN,,ST,6
2009-09-27,,Daniela,Rieger,1976,Tierschutzpartei,,NI,8
2009-09-27,,Jürgen,Rieger,1946,NPD,19,HH,1
2009-09-27,,Rudolf,Rieger,1957,NPD,252,,
2009-09-27,,Klaus,Riegert,1959,CDU,263,BW,11
2009-09-27,,Knut Erwin,Ries,1955,CSU,,BY,60
2009-09-27,Prof. Dr.,Heinz,Riesenhuber,1935,CDU,181,HE,2
2009-09-27,,Eva Michaela,Riesterer,1961,SPD,,BY,46
2009-09-27,,Nanni Karoline,Rietz-Heering,1956,DIE LINKE,,NI,14
2009-09-27,,Stefan,Ringer,1956,SPD,,HE,29
2009-09-27,,Helmut Günther,Ringger,1955,,271,,
2009-09-27,,Adelbert,Ringwald,1965,DIE LINKE,282,,
2009-09-27,,Daniela,Rinkenberger,1972,Tierschutzpartei,185,,
2009-09-27,,Ulrich,Rippert,1951,PSG,,BE,1
2009-09-27,,Peter Otto Arthur,Rippler,1949,Bündnis21/RRP,,BY,15
2009-09-27,,Iris,Ripsam,1959,CDU,,BW,19
2009-09-27,,Jürgen,Rischar,1944,SPD,,SL,24
2009-09-27,,Matthias,Ritter,1950,REP,,TH,4
2009-09-27,,Nicole,Ritter,1974,SPD,181,HE,17
2009-09-27,,Peter,Ritter,1959,DIE LINKE,16,MV,4
2009-09-27,,Sönke,Rix,1975,SPD,4,SH,5
