WahlkreisNr,Wahlkreis,Voters,Voted,Invalid_S1,Invalid_S2,Valid_S1,Valid_S2,SPD_S1,SPD_S2,CDU_S1,CDU_S2,FDP_S1,FDP_S2,DIE LINKE_S1,DIE LINKE_S2,GRÜNE_S1,GRÜNE_S2,CSU_S1,CSU_S2,NPD_S1,NPD_S2,REP_S1,REP_S2,FAMILIE_S1,FAMILIE_S2,Die Tierschutzpartei_S1,Die Tierschutzpartei_S2,PBC_S1,PBC_S2,MLPD_S1,MLPD_S2,BüSo_S1,BüSo_S2,BP_S1,BP_S2,PSG_S2,Volksabstimmung_S1,Volksabstimmung_S2,ZENTRUM_S1,ZENTRUM_S2,ADM_S1,ADM_S2,CM_S2,DKP_S1,DKP_S2,DVU_S2,DIE VIOLETTEN_S1,DIE VIOLETTEN_S2,FWD_S2,ödp_S1,ödp_S2,PIRATEN_S1,PIRATEN_S2,RRP_S1,RRP_S2,RENTNER_S2,Freie Union_S1,Übrige_S1
40,Nienburg II – Schaumburg,198 376,143 398,1 706,1 376,141 692,142 022,58 649,46 797,52 714,45 750,8 712,17 698,8 797,10 847,10 217,13 815,0,0,2 036,1 858,0,0,0,0,0,1 079,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,183,0,2 454,0,1 352,0,0,567
41,Stadt Hannover I,180 088,131 369,1 556,1 381,129 813,129 988,50 592,40 497,42 621,34 448,9 699,16 680,10 624,12 111,13 364,19 019,0,0,1 759,1 681,0,0,0,0,0,1 081,0,0,176,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,190,0,3 102,978,973,0,0,0
42,Stadt Hannover II,190 623,140 587,1 655,1 392,138 932,139 195,55 068,41 482,44 534,33 872,8 657,16 098,12 886,14 786,15 797,24 705,0,0,1 573,1 411,0,0,0,0,0,1 106,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,221,0,4 368,0,887,0,0,417
43,Hannover-Land I,232 214,175 757,2 251,1 764,173 506,173 993,67 178,53 236,66 311,58 219,14 560,24 492,11 173,12 601,11 642,16 993,0,0,2 642,2 288,0,0,0,0,0,1 362,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,301,0,3 137,0,1 139,0,0,0
44,Celle – Uelzen,217 316,157 137,1 991,1 701,155 146,155 436,50 107,42 402,68 572,55 393,11 351,22 295,10 130,11 765,10 801,14 770,0,0,2 501,2 291,0,0,0,0,0,1 130,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,190,0,2 957,1 684,2 023,0,0,0
45,Gifhorn – Peine,216 957,161 017,2 012,1 822,159 005,159 195,64 365,52 292,58 827,53 085,10 073,17 875,11 663,13 314,9 476,14 217,0,0,2 029,1 882,0,0,0,0,0,1 297,838,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,181,0,3 359,1 346,1 497,0,0,388
46,Hameln-Pyrmont – Holzminden,197 394,143 185,2 203,1 948,140 982,141 237,55 842,47 115,49 787,41 166,10 401,19 736,11 820,12 911,10 849,13 322,0,0,2 283,1 982,0,0,0,0,0,1 285,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,130,0,2 571,0,820,0,0,0
47,Hannover-Land II,239 450,183 314,2 258,2 005,181 056,181 309,73 215,59 493,65 573,57 144,12 982,22 004,11 976,13 908,12 533,18 936,0,0,2 853,2 534,0,0,0,0,0,1 513,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,248,0,3 528,1 422,1 767,0,0,502
48,Hildesheim,222 804,167 520,2 201,1 802,165 319,165 718,64 555,54 487,60 376,52 747,10 231,18 752,11 402,13 429,14 856,17 360,0,0,2 606,2 452,0,0,0,0,0,1 405,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,171,0,3 191,1 293,1 520,0,0,0
49,Salzgitter – Wolfenbüttel,213 208,157 578,2 468,2 167,155 110,155 411,69 631,53 144,50 519,47 719,9 436,16 479,12 538,15 569,9 032,13 744,0,0,2 791,2 490,0,0,0,0,0,1 334,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,129,0,2 812,1 163,1 771,0,0,0
