WahlkreisNr,Wahlkreis,Voters,Voted,Invalid_S1,Invalid_S2,Valid_S1,Valid_S2,SPD_S1,SPD_S2,CDU_S1,CDU_S2,FDP_S1,FDP_S2,DIE LINKE_S1,DIE LINKE_S2,GRÜNE_S1,GRÜNE_S2,CSU_S1,CSU_S2,NPD_S1,NPD_S2,REP_S1,REP_S2,FAMILIE_S1,FAMILIE_S2,Tierschutzpartei_S1,Tierschutzpartei_S2,PBC_S1,PBC_S2,MLPD_S1,MLPD_S2,BüSo_S1,BüSo_S2,BP_S1,BP_S2,PSG_S2,Volksabstimmung_S1,Volksabstimmung_S2,ZENTRUM_S1,ZENTRUM_S2,ADM_S1,ADM_S2,CM_S2,DKP_S1,DKP_S2,DVU_S2,DIE VIOLETTEN_S1,DIE VIOLETTEN_S2,FWD_S2,ÖDP_S1,ÖDP_S2,PIRATEN_S1,PIRATEN_S2,Bündnis21/RRP_S1,Bündnis217RRP_S2,RENTNER_S2,Freie Union_S1,Übrige_S1
162,Chemnitz,205652,136100,1716,1603,134384,134497,27060,22991,45876,41081,12106,17147,37433,38448,8109,9524,,,3800,3651,,537,,,,,,,,305,,813,,,,,,,,,,,,,,,,,,,,,,,,,
163,Chemnitzer Umland  Erzgebirgskreis II,202743,133277,2151,1955,131126,131322,19247,19114,54065,49258,14092,16968,33133,33488,5360,5946,,,5229,4975,,463,,,,,,,,281,,829,,,,,,,,,,,,,,,,,,,,,,,,,
164,Erzgebirgskreis I,247624,159655,2884,2857,156771,156798,17168,18846,63211,60413,23820,22051,37166,39545,5896,5919,,,7930,7876,,618,,,,,,,,373,,1157,,,,,,,,,,,,,,,,,,,,,,,,,1580
165,Zwickau,229535,145614,2383,2228,143231,143386,20864,21336,55605,51459,13097,17402,40265,39659,6491,6418,,,5394,5268,,517,,,,,,,,316,995,1011,,,,,,,,,,,,,,,,,,,,,,,,,520
166,Vogtlandkreis,213732,137330,2421,2276,134909,135054,21393,20227,55128,49522,12755,16882,33586,35235,5849,6781,,,4908,4772,,569,,,,,1290,,,251,,815,,,,,,,,,,,,,,,,,,,,,,,,,
167,Waldeck,192360,140808,3801,3513,137007,137295,51737,45343,48414,41109,13180,20210,10400,11657,11209,13498,,,1756,1393,,504,,,,1121,,,,48,,122,,,,,,,,,,,,,115,,,,,,,2175,,,,,311
168,Kassel,222636,161033,4254,3903,156779,157130,59621,49114,47643,40134,12188,19820,15453,17656,19246,23320,,,1594,1275,,470,,,,1374,,,319,173,,159,,,,,,,,,,,,,112,,,,,,,3523,,,,,715
169,Werra-Meißner  Hersfeld-Rotenburg,184337,135727,3713,3630,132014,132097,53275,45401,45711,39966,12290,17526,11080,12927,7530,10679,,,2128,1939,,422,,,,1004,,,,35,,155,,,,,,,,,,,,,95,,,,,,,1948,,,,,
170,Schwalm-Eder,194732,144490,4391,4275,140099,140215,56519,47585,47053,40592,13487,19854,11395,12958,9370,12935,,,2275,1813,,556,,,,1256,,,,37,,119,,,,,,,,,,,,,128,,,,,,,2382,,,,,
171,Marburg,185071,135293,2382,2195,132911,133098,51712,38139,47322,41356,10964,17410,10857,13181,10366,16884,,,1690,1290,,843,,,,1116,,,,27,,151,,,,,,,,,,,,,76,,,,,,,2625,,,,,
