Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer
;"Reiner";"Krauß";"PBC";1950;1618
;"Tanja";"Krauth";"DIE LINKE";1968;1619
;"Jörg";"Krebs";"NPD";1975;1620
;"Matthias";"Kreh";"SPD";1980;1621
;"Alexander F.";"Kreidemann";"NPD";1959;1622
;"Horst";"Kreil";"BüSo";1938;1623
;"Andreas";"Krell";"ödp";1955;1624
;"Jutta";"Krellmann";"DIE LINKE";1956;1625
;"Marc-Benedict";"Kremer";"NPD";1973;1626
;"Nicolette";"Kressl";"SPD";1958;1627
;"Holger";"Krestel";"FDP";1955;1628
;"Michael";"Kretschmer";"CDU";1975;1629
;"Gunter";"Kretzschmann";"NPD";1951;1630
;"Gunther";"Krichbaum";"CDU";1964;1631
;"Hermann-Josef";"Krichel-Mäurer";"SPD";1962;1632
;"Frank Hartmut";"Krien";"NPD";1956;1633
"Dr.";"Günter";"Krings";"CDU";1969;1634
;"Oliver";"Krischer";"GRÜNE";1969;1635
;"Stefan";"Krix";"ödp";1966;1636
;"Walter";"Krögner";"SPD";1963;1637
;"Manfred";"Krönauer";"FDP";1974;1638
"Dr.";"Martina";"Krogmann";"CDU";1964;1639
;"Daniela";"Kroll";"FWD";1971;1640
;"Dorothee";"Kroll";"GRÜNE";1955;1641
;"Kilian";"Kronimus";"ödp";1965;1642
;"Katarzyna Dorota";"Kruczkowski";"BüSo";1979;1643
"Dr.";"Hans-Ulrich";"Krüger";"SPD";1952;1644
;"Jürgen";"Krüger";"REP";1964;1645
;"Lasse";"Krüger";"NPD";1989;1646
;"Mario";"Krüger";"PBC";1970;1647
;"Angelika";"Krüger-Leißner";"SPD";1951;1648
;"Daniel";"Krug";"NPD";1981;1649
"Dr.";"Michael";"Krug";"FDP";1960;1650
;"Alois";"Krumbachner";"BüSo";1953;1651
;"Agnes";"Krumwiede";"GRÜNE";1977;1652
;"Holger Karsten";"Krupp";"FDP";1982;1653
;"Michael";"Kruse";"PIRATEN";1985;1654
;"Rüdiger";"Kruse";"CDU";1961;1655
;"Stefan";"Krutten";"SPD";1960;1656
;"Walter";"Kubach";"DIE LINKE";1955;1657
;"Klaus";"Kubacki";"DKP";1936;1658
;"Stefan";"Kubat";"FDP";1974;1659
;"Christian";"Kubisch";"PIRATEN";1974;1660
;"Jürgen";"Kucharczyk";"SPD";1957;1661
;"Hartwin";"Kuchler";"BP";1945;1662
;"Hans-Werner";"Kuchta";"PBC";1954;1663
;"Bettina Irene";"Kudla";"CDU";1962;1664
;"Thurid";"Küber";"SPD";1980;1665
;"Stephan";"Kühn";"GRÜNE";1979;1666
;"Helga";"Kühn-Mengel";"SPD";1947;1667
;"Steffen";"Kühne";"DIE LINKE";1981;1668
;"Hans-Gerd Lutz";"Kühnel";"MLPD";1953;1669
;"Marcus";"Kührt";"BüSo";1983;1670
;"Heinz Hans Hermann";"Kühsel";"DIE LINKE";1949;1671
;"Renate";"Künast";"GRÜNE";1955;1672
;"Jutta Maria Irene";"Künstle";"PBC";1939;1673
"Dr.";"Hermann";"Kues";"CDU";1949;1674
;"Jörg-Friedrich";"Küster";"DIE LINKE";1964;1675
;"Max";"Kuhlmann";"DIE VIOLETTEN";1985;1676
"Dr.";"Arnd";"Kuhn";"GRÜNE";1957;1677
;"Fritz";"Kuhn";"GRÜNE";1955;1678
;"Klaus Dieter Kurt";"Kuhn";"DVU";1955;1679
;"Rudolf";"Kujath";"SPD";1942;1680
;"Ute";"Kumpf";"SPD";1947;1681
;"Katrin";"Kunert";"DIE LINKE";1964;1682
;"Willibert";"Kunkel";"NPD";1950;1683
;"Cornelia";"Kunkis-Becker";"GRÜNE";1960;1684
;"Ernst Jakob";"Kuntz";"DIE LINKE";1949;1685
;"Christian";"Kunz";"DIE LINKE";1978;1686
;"Viktor";"Kunz";;1979;1687
;"Bayram";"Kurnaz";;1969;1688
;"Günter";"Kursawe";"NPD";1959;1689
;"Wolfgang Wilhelm";"Kurtenbach";"RRP";1940;1690
;"Markus";"Kurth";"GRÜNE";1966;1691
;"Patrick";"Kurth";"FDP";1976;1692
;"Undine";"Kurth";"GRÜNE";1951;1693
;"Matthias";"Kurz";"PIRATEN";1984;1694
;"Dietmar";"Kuschke";"DIE LINKE";1967;1695
;"Monika";"Kuske";"MLPD";1957;1696
;"Rolf";"Kutzmutz";"DIE LINKE";1947;1697
;"Benedikt";"Laame";"FDP";1984;1698
;"Sebastian";"Laaser";"SPD";1981;1699
;"Claire";"Labigne";"GRÜNE";1950;1700
;"Christa";"Labouvie";"GRÜNE";1956;1701
;"Carsten";"Labudda";"DIE LINKE";1975;1702
;"Günter";"Lach";"CDU";1954;1703
;"Daniel";"Lachmann";"NPD";1980;1704
;"Peter Christian Harri";"Lachmann";"RRP";1941;1705
;"Richard";"Ladewig";"FDP";1966;1706
;"Andreas Gottfried";"Lämmel";"CDU";1959;1707
;"Uwe";"Lämmel";"GRÜNE";1959;1708
;"Rosemarie";"Lämmer";"REP";1954;1709
;"Jean Dominique";"Länge";"ödp";1974;1710
;"Mike";"Lätzsch";"DIE LINKE";1967;1711
;"Oskar";"Lafontaine";"DIE LINKE";1943;1712
;"Erhard";"Lahni";"FAMILIE";1965;1713
;"Christine";"Lambrecht";"SPD";1965;1714
"Dr.";"Karl";"Lamers";"CDU";1951;1715
"Prof. Dr.";"Norbert";"Lammert";"CDU";1948;1716
;"Hans";"Lampl";"RRP";1941;1717
;"Monika";"Lamprecht";;1946;1718
;"Stefan";"Lanari";"DIE LINKE";1959;1719
"Dr.";"Peter";"Landauer";;1951;1720
;"Barbara Katharina";"Landgraf";"CDU";1954;1721
;"Heinz";"Lanfermann";"FDP";1950;1722
;"Peter";"Lang";"ADM";1940;1723
;"Rudolf";"Lang";"ödp";1953;1724
;"Jürgen";"Langanki";"REP";1972;1725
;"Christian";"Lange";"SPD";1964;1726
;"Cornelia";"Lange";"CDU";1959;1727
;"Hans-Jürgen";"Lange";;1936;1728
;"Helmut Walter Wolfgang";"Lange";"MLPD";1952;1729
;"Robert";"Lange";"PIRATEN";1980;1730
;"Ulrich";"Lange";"CSU";1969;1731
;"Volker Rainer Hartmut";"Lange";"SPD";1967;1732
;"Wanja Max";"Lange";"MLPD";1987;1733
;"Jörn";"Langefeld";"FDP";1964;1734
;"Doreen";"Langen";"NPD";1979;1735
;"Heidemarie Regine Elke (Heidi)";"Langensiepen";"FDP";1944;1736
;"Michael";"Langer";"REP";1962;1737
"Dr.";"Vera Isabella";"Langer";"FDP";1978;1738
;"Iris";"Langguth";"GRÜNE";1959;1739
;"Rita";"Lanius-Heck";"CDU";1959;1740
;"Barbara Maria";"Lanzinger";"CSU";1954;1741
"Dr.";"Jürgen Hans";"Lapsien";"ödp";1957;1742
"Dr.";"Hartmut";"Lardon";"FDP";1953;1743
;"Thomas";"Laubel";"PIRATEN";1978;1744
;"Paul";"Lauer";"FDP";1957;1745
;"Dieter";"Lauinger";"GRÜNE";1962;1746
;"Dennis";"Laurisch";"PIRATEN";1978;1747
;"Mario Michael";"Laurischk";"CDU";1975;1748
;"Sibylle";"Laurischk";"FDP";1954;1749
"Dr.";"Conrad";"Lausberg";"ödp";1959;1750
;"Brigitte Renate";"Lauterbach";"NPD";1934;1751
"Prof. Dr.";"Karl";"Lauterbach";"SPD";1963;1752
;"Claudia Marianne";"Laux";"GRÜNE";1966;1753
;"Caren Nicole";"Lay";"DIE LINKE";1972;1754
;"Monika";"Lazar";"GRÜNE";1967;1755
;"Tim";"Leber";"FAMILIE";1966;1756
;"Josef";"Lebmeier";"BüSo";1963;1757
;"Sebastian";"Lechner";"CDU";1980;1758
;"Thomas Gerhard";"Lechner";"FAMILIE";1966;1759
;"Ulrich Werner Maria";"Lechte";"FDP";1977;1760
"Dr.";"Klaus";"Lederer";"DIE LINKE";1974;1761
;"Felix Paul Edgar";"Lederle";"DIE LINKE";1975;1762
;"Bernhard";"Lehle";"GRÜNE";1963;1763
;"Klaus";"Lehmann";"ödp";1935;1764
;"Uwe";"Lehmann";;1959;1765
"Dr.";"Max";"Lehmer";"CSU";1946;1766
;"Erwine";"Lehming";"NPD";1928;1767
;"Aloys";"Lehmler";"NPD";1951;1768
"Dr.";"Kurt";"Lehner";"FDP";1967;1769
;"Ruben";"Lehnert";"DIE LINKE";1978;1770
;"Sebastian";"Lehrberger";"Freie Union";1955;1771
;"Paul";"Lehrieder";"CSU";1959;1772
;"Harald";"Leibrecht";"FDP";1961;1773
;"Sabine";"Leidig";"DIE LINKE";1961;1774
;"Markus";"Leidinger";"SPD";1984;1775
"Prof. Dr.";"Felix";"Leinen";"ödp";1957;1776
;"Andreas";"Lelke";"BüSo";1980;1777
;"Helmut";"Lemke";"RENTNER";1942;1778
;"Michael";"Lemm";"DIE LINKE";1975;1779
;"Steffen-Claudio";"Lemme";"SPD";1965;1780
;"Siegfried";"Lemmermeier";;1955;1781
"Dr.";"Hans-Volkhard";"Lempp";"CSU";1964;1782
;"Tammo";"Lenger";"GRÜNE";1974;1783
;"Peter";"Lengert";"DIE LINKE";1957;1784
;"Vera";"Lengsfeld";"CDU";1952;1785
;"Sebastian";"Lenk";"CDU";1982;1786
;"Ralph";"Lenkert";"DIE LINKE";1967;1787
;"Jürgen";"Lenz";;1960;1788
;"Ingrid";"Lenz-Aktas";"SPD";1961;1789
"Dr.";"Elke";"Leonhard";"SPD";1949;1790
;"Gino";"Leonhard";"FDP";1972;1791
;"Sabine";"Leopold";"MLPD";1958;1792
;"Helga";"Lerch";"FDP";1955;1793
;"Maximilian";"Leucht";"FDP";1979;1794
;"Bernhard";"Leusmann";"ADM";1935;1795
;"Michael Gerhard";"Leutert";"DIE LINKE";1974;1796
;"Sabine";"Leutheusser-Schnarrenberger";"FDP";1951;1797
;"Christopher";"Lewis";"BüSo";1945;1798
"Dr.";"Ursula";"Leyen von der";"CDU";1958;1799
;"Rainer";"Leyendecker";;1956;1800
;"Robert";"Lieb";"REP";1963;1801
;"Maria";"Liebeck";"CDU";1957;1802
;"Marc";"Liebehenz";"FDP";1977;1803
;"Fritz";"Liebenow";"NPD";1949;1804
;"Werner Hans";"Liebhart";"FDP";1963;1805
;"Stefan";"Liebich";"DIE LINKE";1972;1806
;"Ingbert";"Liebing";"CDU";1963;1807
;"Hans Dieter";"Liederwald";"DVU";1964;1808
;"Ulrike";"Liedy";"FAMILIE";1960;1809
;"Lore";"Lierse";"NPD";1955;1810
;"Matthias";"Lietz";"CDU";1953;1811
;"Ulrike";"Lillge";"BüSo";1950;1812
"Dr.";"Wolfgang";"Lillge";"BüSo";1950;1813
;"Kai";"Limmer";"NPD";1978;1814
;"Hendrik";"Lindemann";"FDP";1964;1815
;"Lars Friedrich";"Lindemann";"FDP";1971;1816
;"Thomas";"Lindemann";"NPD";1980;1817
;"Hans";"Linden";"Volksabstimmung";1936;1818
;"Andrea";"Lindholz";"CSU";1970;1819
;"Manuel";"Lindlar";"DIE LINKE";1988;1820
;"Andrea";"Lindlohr";"GRÜNE";1975;1821
;"Christian";"Lindner";"FDP";1979;1822
;"Dietmar";"Lindner";"FAMILIE";1945;1823
"Dr.";"Martin";"Lindner";"FDP";1964;1824
;"Tobias";"Lindner";"GRÜNE";1982;1825
"Dr.";"Hildegard";"Lingnau";"GRÜNE";1964;1826
;"Heinz Werner";"Link";"BP";1957;1827
"Dr.";"Manfred";"Link";"RRP";1941;1828
;"Michael Georg";"Link";"FDP";1963;1829
;"Peter Wigbert";"Link";"CDU";1963;1830
"Dr.";"Marianne Monika";"Linke";"DIE LINKE";1945;1831
"Dr.";"Carsten";"Linnemann";"CDU";1977;1832
;"Julia";"Linse";"CDU";1982;1833
;"Patricia";"Lips";"CDU";1963;1834
;"Burkhard";"Lischka";"SPD";1965;1835
;"Simon";"Lissner";"GRÜNE";1958;1836
;"Uwe";"Litfin";"FWD";1958;1837
;"Sven";"Lobeck";"NPD";1976;1838
;"Ingeborg Anna";"Lobocki";"DVU";1946;1839
;"Wolfgang";"Loch";"RRP";1964;1840
;"Klemens";"Lockfisch";"NPD";1961;1841
;"Alfred";"Loeber";"RENTNER";1944;1842
;"Max";"Löffler";"GRÜNE";1988;1843
;"Oskar";"Löffler";;1960;1844
;"Christoph";"Löhr";"PIRATEN";1983;1845
;"Marlene";"Löhr";"GRÜNE";1985;1846
;"Markus Michael Maria";"Löning";"FDP";1960;1847
;"Johannes";"Loepelmann";"PIRATEN";1987;1848
;"Norbert";"Loeper";"RRP";1953;1849
;"Bernhard Paul";"Lörch";"ödp";1946;1850
;"Wolfgang";"Lörcher";"DIE LINKE";1963;1851
;"Rudolf";"Lörcks";"PIRATEN";1964;1852
;"Gabriele";"Lösekrug-Möller";"SPD";1951;1853
;"Ursula Cornelia";"Lötzer";"DIE LINKE";1950;1854
"Dr.";"Gesine";"Lötzsch";"DIE LINKE";1961;1855
;"Klaus";"Lohfing-Blanke";;1958;1856
;"Dorothee";"Lohmann";"MLPD";1942;1857
;"Roland";"Lohmeier";"RRP";1945;1858
;"Johannes Hubertus";"Lohmeyer";"FDP";1964;1859
;"Mario";"Look";"ödp";1964;1860
;"Stefan";"Lorent";"DIE LINKE";1961;1861
;"Bernd Gerhard";"Lorenz";"NPD";1970;1862
;"Gertrud";"Lorenz";"CDU";1926;1863
;"Joseph";"Lorenz";"REP";1941;1864
;"Kathrin";"Lorenz";"CDU";1969;1865
;"Kurt-Heinz";"Lorsbach";"REP";1958;1866
"Dr.";"Erwin Georg";"Lotter";"FDP";1951;1867
;"Hiltrud";"Lotze";"SPD";1958;1868
;"Klaus";"Louis";"NPD";1959;1869
;"Gert";"Lowack";"GRÜNE";1971;1870
"Dr.";"Jan-Marco";"Luczak";"CDU";1975;1871
;"Jochen";"Luczak";"GRÜNE";1950;1872
;"Gottfried";"Ludewig";"CDU";1982;1873
;"Felix-Anton";"Ludosan";"FAMILIE";1969;1874
;"Arne";"Ludwig";"PIRATEN";1968;1875
;"Lars";"Lübbe";"CDU";1986;1876
;"Andreas";"Lück";"FDP";1961;1877
;"Karl Heinz";"Lüder";;1943;1878
;"Kirsten";"Lühmann";"SPD";1964;1879
;"Jens";"Lütke";"NPD";1978;1880
;"David";"Lukaßen";"GRÜNE";1981;1881
;"Oliver";"Lukner";"FDP";1970;1882
;"Oliver";"Luksic";"FDP";1979;1883
;"Manfred";"Lurz";"DIE LINKE";1945;1884
"Dr.";"Michael Andreas";"Luther";"CDU";1956;1885
;"Hans-Jürgen";"Lutz";"Die Tierschutzpartei";1948;1886
;"Janet";"Lutz";"GRÜNE";1970;1887
;"Thomas";"Lutze";"DIE LINKE";1969;1888
;"Benedikt";"Lux";"GRÜNE";1981;1889
;"Josefa";"Lux";"SPD";1958;1890
;"Stefan";"Lux";"NPD";1959;1891
;"Karin";"Maag";"CDU";1962;1892
;"Herbert";"Maar";"RRP";1946;1893
;"Jens";"Maaß";"Die Tierschutzpartei";1975;1894
;"Simone";"Maaß";"GRÜNE";1967;1895
;"Bärbel Heike";"Macamo";;1961;1896
;"Wolfgang";"MacGregor";"DIE LINKE";1944;1897
;"Andrea";"Machleid";"NPD";1960;1898
;"Karin";"Machner";"NPD";1940;1899
;"Robert";"Macholdt";"PIRATEN";1981;1900
"Dr.";"Christian Hermann";"Machon";"CSU";1974;1901
;"Hermann";"Mack";"REP";1953;1902
"Dr.";"Roland";"Mackert";;1951;1903
;"Wolfgang";"Mädel";"SPD";1950;1904
;"Eric";"Mäncher";"SPD";1965;1905
;"David";"Mändlen";"PIRATEN";1988;1906
;"Thomas";"Mahlberg";"CDU";1965;1907
;"Franz-Josef";"Mai";"ödp";1943;1908
;"Susann";"Mai";"ödp";1967;1909
;"Edeltraud";"Maier";"ödp";1938;1910
;"Franz";"Maier";"BüSo";1963;1911
;"Norbert";"Maier";"CDU";1970;1912
;"Sascha Andre";"Maier";"NPD";1984;1913
;"Bejamin";"Mair";"BP";1983;1914
;"Katrin";"Mair";"CSU";1981;1915
;"Nicole";"Maisch";"GRÜNE";1981;1916
"Dr.";"Karl Ernst Thomas";"Maizière de";"CDU";1954;1917
;"Thorsten";"Majer";"SPD";1978;1918
;"Eva";"Majewski";"CDU";1985;1919
;"Lydia";"Makhloufi";"BüSo";1973;1920
;"Agnes";"Malczak";"GRÜNE";1985;1921
"Dr.";"Birgit";"Malecha-Nissen";"SPD";1958;1922
;"Hans-Jürgen";"Malirs";"FWD";1945;1923
;"Anton";"Maller";"BP";1957;1924
;"Roger";"Mallmenn";"DIE LINKE";1976;1925
;"Siegfried Heinrich Eduard";"Malsch";"RRP";1937;1926
"Prof.";"Bodo";"Manegold";"CDU";1948;1927
;"Ulrich";"Manes";"REP";1946;1928
;"Michael";"Mang";"SPD";1981;1929
;"Sylvia";"Mang";"DIE LINKE";1951;1930
;"Maria-Barbara";"Mangold-Nietzschmann";;1944;1931
;"Manuel";"Mann";"NPD";1979;1932
;"Marco Gérard";"Mantovanelli";"GRÜNE";1965;1933
;"Nicolas";"Mantseris";"GRÜNE";1970;1934
;"Josef";"Manz";"CDU";1932;1935
;"Dirk";"Manzewski";"SPD";1960;1936
;"Margitta";"Marcian";"Die Tierschutzpartei";1946;1937
;"André";"Markau";"NPD";1964;1938
;"Hans Christian";"Markert";"GRÜNE";1968;1939
;"Alfred";"Market";"REP";1953;1940
;"Steffen";"Marklein";"GRÜNE";1961;1941
;"Caren";"Marks";"SPD";1963;1942
;"Yvonne";"Marmann";"CDU";1976;1943
;"Ralf";"Marohn";"FDP";1967;1944
;"Rainer";"Marschall";"NPD";1953;1945
;"Frank";"Marschner";"NPD";1957;1946
;"Anke";"Martens";"NPD";1954;1947
;"Axel";"Martin";"PIRATEN";1983;1948
;"Günter";"Martin";;1954;1949
;"Paula";"Martin";"PBC";1938;1950
;"Richard";"Martin";"PBC";1933;1951
;"Guido";"Martini";"RRP";1973;1952
;"Hans-Robert";"Martini";"RRP";1944;1953
;"Thomas";"Marwein";"GRÜNE";1958;1954
;"Hans-Georg";"Marwitz von der";"CDU";1961;1955
;"Peter";"Marx";"NPD";1956;1956
;"Reinhard Helmut Anton";"Maßberg";"BüSo";1947;1957
;"Norbert";"Maßon";"DIE LINKE";1957;1958
;"Katja";"Mast";"SPD";1971;1959
"Dr.";"Willi Alfred";"Mast";"MLPD";1947;1960
;"Ralf";"Matheis";;1969;1961
;"Gert";"Mathiesen";"DIE VIOLETTEN";1938;1962
;"Danny";"Matschke";"NPD";1975;1963
;"Andreas";"Mattfeldt";"CDU";1969;1964
;"Hildegard";"Mattheis";"SPD";1954;1965
;"Marcella";"Matthes";"FDP";1983;1966
;"Detlef";"Matthiessen";"GRÜNE";1954;1967
;"Günter";"Matthiessen";"DIE LINKE";1947;1968
;"Dietmar Friedrich Heinz Gerd";"Mattiat";"DIE LINKE";1946;1969
;"Alexandre";"Maturana";"FDP";1987;1970
;"Gerwin";"Matysiak";"SPD";1953;1971
;"Frank Thomas";"Maul";"REP";1964;1972
;"Ulrich";"Maurer";"DIE LINKE";1948;1973
;"Michael Hans";"May";"MLPD";1949;1974
"Dr.";"Oliver Matthias Werner";"May";"FDP";1967;1975
;"Bernhard";"Mayer";"ödp";1977;1976
;"Dieter";"Mayer";"SPD";1938;1977
;"Erna";"Mayer";"Die Tierschutzpartei";1947;1978
;"Johann";"Mayer";"GRÜNE";1960;1979
;"Stephan Ernst Johann";"Mayer";"CSU";1973;1980
;"Markus";"Meckel";"SPD";1952;1981
;"Wolfgang";"Meckelburg";"CDU";1949;1982
;"Axel";"Mehldau";"PIRATEN";1959;1983
;"Walter Heinrich Christian";"Mehring";"RRP";1926;1984
;"Paul";"Meichelböck";"DIE LINKE";1960;1985
;"Agnes";"Meier";"FDP";1965;1986
;"Edmund";"Meier";"MLPD";1959;1987
;"Rolf";"Meier";"DKP";1967;1988
;"Sandy";"Meier";"Die Tierschutzpartei";1975;1989
;"Wolfgang";"Meier";"REP";1942;1990
;"Horst";"Meierhofer";"FDP";1972;1991
;"Andreas";"Meihsies";"GRÜNE";1960;1992
;"Patrick";"Meinhardt";"FDP";1966;1993
;"Wolfgang";"Meischner";"ödp";1954;1994
;"Ariane Christine";"Meise";"NPD";1960;1995
"Dr.";"Michael";"Meister";"CDU";1961;1996
;"Roland Matthäus";"Meister";"MLPD";1953;1997
;"Albert-Claus";"Meisterjahn";"RENTNER";1939;1998
;"Peter";"Meiwald";"GRÜNE";1966;1999
;"Edgar Bernhard Willibald";"Meixner";"FDP";1964;2000
;"Thomas";"Melber";"REP";1965;2001
;"Wilhelm Gerhard";"Melchers";"FDP";1964;2002
;"Thomas";"Melchinger";"PIRATEN";1978;2003
;"Christine";"Melo-Plath";"ödp";1956;2004
;"Volker";"Menge";"RRP";1962;2005
;"Karl";"Mennicken-Martensen";"GRÜNE";1943;2006
;"Arend";"Menssen";"FAMILIE";1966;2007
;"Dorothée Luise";"Menzner";"DIE LINKE";1965;2008
;"Lübbo";"Meppen";"FDP";1956;2009
;"Monika Manuela Carmen";"Merk";"DIE LINKE";1963;2010
"Dr.";"Angela Dorothea";"Merkel";"CDU";1954;2011
;"Michael";"Merkel";;1987;2012
;"Petra";"Merkel";"SPD";1947;2013
;"Sabine";"Merkelbach";"FDP";1966;2014
"Dr.";"Robert";"Mertel";;1940;2015
;"Ulrike";"Merten";"SPD";1951;2016
;"Joseph Andreas";"Mertens";"NPD";1979;2017
;"Bettina";"Mertgen";"CDU";1977;2018
;"Ullrich";"Meßmer";"SPD";1954;2019
;"Heinz Dirk Karl";"Metzner";"DIE LINKE";1957;2020
;"Barbara";"Meyer";"MLPD";1978;2021
;"Carsten";"Meyer";"GRÜNE";1961;2022
;"Cora";"Meyer";"NPD";1979;2023
;"Doris";"Meyer";"CSU";1957;2024
;"Hartmut Heinrich Johann";"Meyer";"ödp";1956;2025
;"Heike";"Meyer";"CDU";1962;2026
;"Henry";"Meyer";"BüSo";1986;2027
;"Jens Gerd";"Meyer";"SPD";1957;2028
;"Jessica";"Meyer";"CDU";1978;2029
;"Laurenz";"Meyer";"CDU";1948;2030
;"Maria";"Meyer";"MLPD";1954;2031
;"Michael";"Meyer";"NPD";1976;2032
;"Reinhardt Wilhelm";"Meyer";"MLPD";1953;2033
;"Steffen-Werner";"Meyer";"SPD";1970;2034
;"Torsten";"Meyer";"DVU";1956;2035
;"Wolfgang";"Meyer";"Volksabstimmung";1941;2036
;"Andrea Erika Gesche Elisabeth";"Meyer-Garbe";"SPD";1967;2037
;"Leo";"Meyer-Giesow";"ödp";1970;2038
;"Joachim";"Meyer-Heithius";"DIE LINKE";1955;2039
;"Bernd";"Meyerding";"ödp";1949;2040
;"Axel";"Michaelis";"NPD";1965;2041
;"Ursula";"Michalak";"CDU";1952;2042
;"Maria Ludwiga";"Michalk";"CDU";1949;2043
"Dr.";"Marna";"Michel";"CDU";1966;2044
"Dr.";"Charlotte";"Michel-Biegel";"GRÜNE";1952;2045
;"Hans";"Michelbach";"CSU";1949;2046
;"Matthäus";"Michlbauer";"BüSo";1966;2047
"Dr.";"Mathias";"Middelberg";"CDU";1964;2048
;"Andrea";"Miehling";"BP";1984;2049
"Dr.";"Matthias";"Miersch";"SPD";1968;2050
;"Walter";"Mini";"DIE LINKE";1952;2051
;"Wilhelm";"Minschke";"FDP";1943;2052
;"Richard";"Miosga";"NPD";1944;2053
;"Evmarie-Gertrud";"Mischau";"MLPD";1958;2054
;"Reinhard";"Mischuda";"REP";1951;2055
;"Günter";"Miß";"ödp";1954;2056
;"Philipp";"Mißfelder";"CDU";1979;2057
;"Kim-Sun";"Mo";"PIRATEN";1978;2058
;"Kerstin";"Mock-Hofeditz";"GRÜNE";1966;2059
;"Mona";"Model";"FDP";1983;2060
;"Klaus-Dieter Alfred August";"Möhle";"GRÜNE";1952;2061
;"Cornelia";"Möhring";"DIE LINKE";1960;2062
"Dr.";"Oliver";"Möllenstädt";"FDP";1978;2063
;"Katrin";"Möller";"DIE LINKE";1967;2064
;"Kornelia";"Möller";"DIE LINKE";1961;2065
;"Michael";"Möller";"ZENTRUM";1962;2066
;"Olaf";"Möller";"GRÜNE";1962;2067
;"Silke";"Möller";;1966;2068
;"Jan";"Mönikes";"SPD";1970;2069
;"Frank";"Mörsch";"CDU";1971;2070
;"Edith";"Mörtel";"DIE VIOLETTEN";1954;2071
;"Doris";"Moezer";"DIE VIOLETTEN";1948;2072
;"Ursula";"Mogg";"SPD";1953;2073
;"Hans-Jürgen Wilhelm";"Mohme";"RRP";1940;2074
;"Sebastian";"Mohr";"PIRATEN";1982;2075
"Dr.";"Rita-Maria Marianne Margareta Luzia";"Mohr-Lüllmann";"CDU";1957;2076
;"Claus";"Mohrmann";"FDP";1969;2077
;"Christoph";"Mohs";"BüSo";1971;2078
;"Hubertus";"Mohs";"BüSo";1939;2079
;"Helga Gabriele";"Molitor";"FDP";1962;2080
;"Dominik";"Moll";"SPD";1982;2081
;"Viola";"Moll";"CDU";1952;2082
;"Dietrich";"Monstadt";"CDU";1957;2083
;"Jerzy";"Montag";"GRÜNE";1947;2084
;"Monika";"Moritz";"SPD";1952;2085
;"Adrian";"Mork";"GRÜNE";1967;2086
;"Marlene";"Mortler";"CSU";1955;2087
;"Volker Peter";"Mosblech";"CDU";1955;2088
;"Christian";"Moser";"CSU";1977;2089
"Dr.";"Albrecht";"Moslehner";"FDP";1956;2090
;"Rudolf";"Motter";"DVU";1951;2091
;"Daniel";"Mouratidis";"GRÜNE";1977;2092
;"Niema";"Movassat";"DIE LINKE";1984;2093
;"Holger";"Mrosek";"GRÜNE";1971;2094
;"Jan";"Mücke";"FDP";1973;2095
;"Mark";"Mühlbeyer";"CDU";1986;2096
"Dr.";"Otto Stephan";"Mühleck";"ödp";1953;2097
;"Christine";"Mühler-Aumann";"PBC";1954;2098
;"Daniel";"Mühlhäuser";"PBC";1977;2099
;"Jan";"Mühlmann-Skupien";"FDP";1968;2100
;"Marko";"Mühlstein";"SPD";1974;2101
;"Adrian";"Müller";"PIRATEN";1974;2102
;"Alexander";"Müller";"FDP";1969;2103
"Dr.";"Alice";"Müller";"CDU";1976;2104
;"Andreas";"Müller";"DIE LINKE";1964;2105
;"Andreas";"Müller";"DIE LINKE";1959;2106
;"Anja";"Müller";"DIE LINKE";1973;2107
"Dr.";"Axel";"Müller";"GRÜNE";1944;2108
;"Bernhard";"Müller";"DIE LINKE";1951;2109
;"Carsten";"Müller";"CDU";1970;2110
;"Detlef";"Müller";"SPD";1964;2111
;"Farid";"Müller";"GRÜNE";1962;2112
"Dr.";"Gerd";"Müller";"CSU";1955;2113
;"Hans";"Müller";"BüSo";1952;2114
;"Heiko";"Müller";"PIRATEN";1972;2115
"Dr.";"Josef";"Müller";"SPD";1954;2116
;"Kerstin";"Müller";"GRÜNE";1963;2117
;"Klaus";"Mueller";"PIRATEN";1980;2118
;"Marcus";"Müller";"NPD";1972;2119
;"Michael";"Müller";"SPD";1948;2120
;"Nadine";"Müller";"CDU";1983;2121
;"Nikolas";"Müller";"RENTNER";1947;2122
;"Petra";"Müller";"FDP";1960;2123
;"Roland";"Müller";"NPD";1941;2124
;"Stefan";"Müller";"CSU";1975;2125
;"Thomas";"Müller";"ödp";1954;2126
;"Tino";"Müller";"NPD";1978;2127
;"Veit-Harald";"Müller";"MLPD";1941;2128
;"Vincent";"Müller";"GRÜNE";1990;2129
;"Beate";"Müller-Gemmeke";"GRÜNE";1960;2130
;"Esther";"Müller-Horn";"MLPD";1968;2131
;"Kai";"Müller-Horn";"MLPD";1944;2132
;"Wolfgang";"Müller-Kallweit";"CDU";1967;2133
;"Renate";"Müller-Loennies";"CDU";1944;2134
;"Burkhardt";"Müller-Sönksen";"FDP";1959;2135
;"Michael";"Münch";"DVU";1969;2136
;"Hans-Joachim";"Münd";"REP";1962;2137
;"Arno";"Münster";"SPD";1956;2138
