Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei
22.09.2013;4361;;Wolf;Rainer;1963;DIE LINKE
22.09.2013;4362;;Wolf;Sebastian;1988;NPD
22.09.2013;4363;;Wolfer;Helmut;1955;FREIE WÄHLER
22.09.2013;4364;;Wolff;Barbara Ursula;1948;FREIE WÄHLER
22.09.2013;4365;;Wolff;Hartfrid;1971;FDP
22.09.2013;4366;;Wolff;Waltraud Katharina;1956;SPD
22.09.2013;4367;;Wolframm;Klaus Dieter;1959;SPD
22.09.2013;4368;;Wolinski;Ulrich;1958;AfD
22.09.2013;4369;;Wolpert;Veit Erwald;1960;FDP
22.09.2013;4370;;Woltmann;Barbara;1957;CDU
22.09.2013;4371;;Wondrousch;Dominik Philipp;1980;PIRATEN
22.09.2013;4372;;Worm;Christina;1981;PIRATEN
22.09.2013;4373;Dr. ;Wortmann;Martin;1954;FDP
22.09.2013;4374;;Wucherer;Matthias Frank;1980;CSU
22.09.2013;4375;Dr. ;Wünsch;Peter Otto;1942;AfD
